Report Written :   Wednesday, October 08, 2014  17:42
Design Path    :   C:\Users\michaels\Documents\MicroBugAlpha\MicroBugBeta.sch
Design Title   :
Created        :
Last Saved     :   06/10/2014 15:28:19
Editing Time   :   231 min
Units          :   thou (precision 2)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"BH1","1","2032_BatteryHolder_SMT","","USER","Keystone","3003","2197960","",""
"C1","1","08051A220JAT2A","","CAP_C0G_0805-L","AVX","08051A220JAT2A","","",""
"C2","1","08051A220JAT2A","","CAP_C0G_0805-L","AVX","08051A220JAT2A","","",""
"MicroUSB","1","1981568-1","","CONN_1981568-1","Tyco Electronics Amp","1981568-1","6694645","","Micro USB Receptacle type B"
"U1","1","ATMEGA32U4-AU","","44ML-L","Atmel","ATMEGA32U4-AU","7153805","","MCU AVR 32K FLASH 16MHZ 44-TQFP"
"C3","1","C0805C105K4RACTU","","CAP_C0805-L","Kemet Electronics","C0805C105K4RACTU","","",""
"R8","1","CRG0805F10K","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F10K","2230562","","CRG0805 SMT chip resistor,10K 0.125W"
"R9","1","CRG0805F10K","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F10K","2230562","","CRG0805 SMT chip resistor,10K 0.125W"
"R10","1","CRG0805F10K","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F10K","2230562","","CRG0805 SMT chip resistor,10K 0.125W"
"R11","1","CRG0805F22R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F22R","2230203","","CRG0805 SMT chip resistor,22R 0.125W"
"R12","1","CRG0805F22R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F22R","2230203","","CRG0805 SMT chip resistor,22R 0.125W"
"R1","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"R2","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"R3","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"R4","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"R5","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"R6","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"R7","1","CRG0805F220R","","RES0805_CRG_TYCO-L","Tyco Electronics Uk","CRG0805F220R","2230332","","CRG0805 SMT chip resistor,220R 0.125W"
"CCLIP1","1","CrocClipConnector","","USER","","","","",""
"CCLIP2","1","CrocClipConnector","","USER","","","","",""
"CCLIP3","1","CrocClipConnector","","USER","","","","",""
"CCLIP4","1","CrocClipConnector","","USER","","","","",""
"CCLIP5","1","CrocClipConnector","","USER","","","","",""
"CCLIP6","1","CrocClipConnector","","USER","","","","",""
"VCC","1","CrocClipConnector","","USER","","","","",""
"GND","1","CrocClipConnector","","USER","","","","",""
"XTAL1","1","Crystal 16 MHz mini SMD","","USER","QANTEK","QC5CB16.0000F18B23R","8136116","",""
"U2","1","FSM4JSMATR","","SWITCH_FSM4JSMATR","Tyco Electronics Amp","FSM4JSMATR","7182455","","Tactile switch,SMT,SPST,raised actuator"
"U3","1","FSM4JSMATR","","SWITCH_FSM4JSMATR","Tyco Electronics Amp","FSM4JSMATR","7182455","","Tactile switch,SMT,SPST,raised actuator"
"U4","1","FSM4JSMATR","","SWITCH_FSM4JSMATR","Tyco Electronics Amp","FSM4JSMATR","7182455","","Tactile switch,SMT,SPST,raised actuator"
"L1","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L2","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L3","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L4","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L5","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L6","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L7","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L8","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L9","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L10","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L11","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L12","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L13","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L14","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L15","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L16","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L17","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L18","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L19","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L20","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L21","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L22","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L23","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L24","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L25","1","LNJ237W82RA","","LED_LNJ","Panasonic","LNJ237W82RA","7160522","","LED, Red, SMD, Top view"
"L26","1","LNJ437W84RA","","LED_LNJ","Panasonic","LNJ437W84RA","7160534","","LED, Amber, SMD, Top view"
"L27","1","LNJ437W84RA","","LED_LNJ","Panasonic","LNJ437W84RA","7160534","","LED, Amber, SMD, Top view"
"Switch1","1","SlideSwitch","","SlideSwitch_SPDT","C & K","OS102011MA1QN1","7874855","",""
