Report Written :   Monday, September 22, 2014  12:17,,,,,,,
Project Path   :   C:\Users\michaels\Documents\MiniMicro_20140921\MiniMicro_20140921.prj,,,,,,,,,
Design Path    :   C:\Users\michaels\Documents\MiniMicro_20140921\MiniMicro_20140921.pcb,,,,,,,,,
Design Title   :,,,,,,,,,
Created        :   21/09/2014 12:47:43,,,,,,,,,
Last Saved     :   22/09/2014 12:14:15,,,,,,,,,
Editing Time   :   613 min,,,,,,,,,
Units          :   thou (precision 0),,,,,,,,,
,,,,,,,,,
Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
XTAL2,1,16MhzCrystal,,USER,Euroquartz,16.000MHz HC49/4H/30/50/-40+85/18pF/ATF,6938819,,16Mhz Crystal Oscillator
BH2,1,2032_BatteryHolder_SMT,,USER,Keystone,3 003,2197960,,2032 Surface mounted battery holder
C1,1,08051A220JAT2A,,CAP_C0G_0805-L,AVX,08051A220JAT2A,4646587,,AVX 0.022 nF ±5 % 100 V dc C0G Dielectric SMD Ceramic Multilayer Capacitor 0805
C2,1,08051A220JAT2A,,CAP_C0G_0805-L,AVX,08051A220JAT2A,4646587,,AVX 0.022 nF ±5 % 100 V dc C0G Dielectric SMD Ceramic Multilayer Capacitor 0805
J1,1,1981568-1,,CONN_1981568-1,Tyco Electronics Amp,1981568-1,6694645,,Micro USB Receptacle type B
U1,1,ATMEGA32U4-AU,,44ML-L,Atmel,ATMEGA32U4-AU,7153805,,MCU AVR 32K FLASH 16MHZ 44-TQFP
C4,1,C0805C106K4PACTU,,CAP_C0805-L,Kemet Electronics,C0805C106K4PACTU,6911161,,Kemet 10000 nF ±10 % 16 V dc X5R Dielectric SMD Ceramic Multilayer Capacitor 0805
U5,1,CMA02040X2200GB300,,CMA_0204,Vishay,CMA02040X2200GB300,6845985,,"CMA0204 Resistor T/R,0.25W,2%,220R"
U6,1,CMA02040X2200GB300,,CMA_0204,Vishay,CMA02040X2200GB300,6845985,,"CMA0204 Resistor T/R,0.25W,2%,220R"
U7,1,CMA02040X2200GB300,,CMA_0204,Vishay,CMA02040X2200GB300,6845985,,"CMA0204 Resistor T/R,0.25W,2%,220R"
U8,1,CMA02040X2200GB300,,CMA_0204,Vishay,CMA02040X2200GB300,6845985,,"CMA0204 Resistor T/R,0.25W,2%,220R"
U9,1,CMA02040X2200GB300,,CMA_0204,Vishay,CMA02040X2200GB300,6845985,,"CMA0204 Resistor T/R,0.25W,2%,220R"
R10,1,CRCW080522R0FKEA,,RES_CRCW_0805-L,Vishay,CRCW080522R0FKEA,6791112,,"CRCW0805 Resistor T/R 0.125W,1%,22R"
R11,1,CRCW080522R0FKEA,,RES_CRCW_0805-L,Vishay,CRCW080522R0FKEA,6791112,,"CRCW0805 Resistor T/R 0.125W,1%,22R"
R1,1,CRG0805F1K0,,RES0805_CRG_TYCO-L,Tyco Electronics Uk,CRG0805F1K0,2230427,,"CRG0805 SMT chip resistor,1K 0.125W"
R2,1,CRG0805F1K0,,RES0805_CRG_TYCO-L,Tyco Electronics Uk,CRG0805F1K0,2230427,,"CRG0805 SMT chip resistor,1K 0.125W"
U2,1,FSM2JH,,SWITCH_FSM2JH,Tyco,FSM2JH,4791390,,"6x6mm tactile switch,4.3mm H 1.6N"
U3,1,FSM2JH,,SWITCH_FSM2JH,Tyco,FSM2JH,4791390,,"6x6mm tactile switch,4.3mm H 1.6N"
U4,1,FSM2JH,,SWITCH_FSM2JH,Tyco,FSM2JH,4791390,,"6x6mm tactile switch,4.3mm H 1.6N"
L1,1,LNJ237W82RA,,LED_LNJ,Panasonic,LNJ237W82RA,7160522,,"LED, Red, SMD, Top view"
L2,1,LNJ237W82RA,,LED_LNJ,Panasonic,LNJ237W82RA,7160522,,"LED, Red, SMD, Top view"
L3,1,LNJ237W82RA,,LED_LNJ,Panasonic,LNJ237W82RA,7160522,,"LED, Red, SMD, Top view"
L4,1,LNJ237W82RA,,LED_LNJ,Panasonic,LNJ237W82RA,7160522,,"LED, Red, SMD, Top view"
L5,1,LNJ237W82RA,,LED_LNJ,Panasonic,LNJ237W82RA,7160522,,"LED, Red, SMD, Top view"
